name,price,categoryName
"Digital Screen Protector",2399,"Accessories"
"Pro Resistance Band 2454",3899,"Sports & Fitness"
"Advanced Dino Figure 2455",799,"Action Figures"
"Classic Barbell 2456",62949,"Gym Equipment"
"Smart Highlighter Set 2457",1449,"Stationery"
"Classic Printed Tee 2458",1299,"Kids Wear"
"Eco Friendly Screen Protector",1499,"Accessories"
"Smart Kettlebell",51249,"Gym Equipment"
"Advanced Reference Guide 2461",949,"Academic"
"Premium Whiteboard",1999,"Office Supplies"
"Ergonomic File Folder",1299,"Office Supplies"
"Portable Ballpoint Pen",799,"Stationery"
"Smart Doll House 2465",7599,"Toys & Games"
"Smart Gaming Laptop 2466",77299,"Laptops"
"High Performance Superhero Comic 2467",1249,"Comics"
"Heavy Duty Office Chair 2468",9399,"Furniture"
"Eco Friendly Kadai 2469",2799,"Cookware"
"Professional Helmet 2470",1699,"Cycling"
"Ultra Ab Roller 2471",14999,"Sports & Fitness"
"Dual 5G Phone",80649,"Smartphones"
"Pro Science Book 2473",1299,"Non-Fiction"
"Heavy Duty Chromebook",106099,"Laptops"
"Lite Monopoly",1499,"Board Games"
"Slim Math Kit",2049,"Educational Toys"
"Eco Friendly Barbell",63899,"Gym Equipment"
"Classic Bed Sheet",849,"Bedding"
"Classic Foam Puzzle",949,"Puzzles"
"Heavy Duty Moisturiser",2899,"Beauty & Personal Care"
"Dual Ballpoint Pen 2481",99,"Stationery"
"Ultra Business Notebook 2482",118899,"Laptops"
"Heavy Duty Sandals",3299,"Footwear"
"Advanced File Folder 2484",2899,"Office Supplies"
"Elite Scrabble",599,"Board Games"
"Heavy Duty 1000 Piece Puzzle 2486",1699,"Puzzles"
"Compact Eye Cream 2487",3399,"Skincare"
"Premium Ballpoint Pen",1099,"Stationery"
"Portable Jump Rope",5699,"Sports & Fitness"
"Pro Superhero Comic 2490",599,"Comics"
"Slim Conditioner",1149,"Haircare"
"Smart Workbook",1099,"Academic"
"Lite Screwdriver Set 2493",3399,"Tools & Hardware"
"Classic Kurta",599,"Men Fashion"
"Elite Water Bottle Cage",3199,"Cycling"
"Compact Yoga Mat",899,"Sports & Fitness"
"Ergonomic Self Help Book",1399,"Books"
"Heavy Duty Sticky Notes 2498",499,"Office Supplies"
"Advanced Formal Shirt",4199,"Clothing"
"Advanced Dungaree",1199,"Kids Wear"
"Compact Office Chair",56399,"Furniture"
"High Performance Office Chair 2502",11799,"Furniture"
"Wireless Graphic Novel 2503",649,"Comics"
"Premium Business Notebook 2504",69999,"Laptops"
"Pro Thriller Novel 2505",899,"Fiction"
"Lite Romance Novel",399,"Fiction"
"Eco Friendly Gaming Laptop 2507",105099,"Laptops"
"Fast Army Set",3099,"Action Figures"
"High Performance Webcomic Collection 2509",1199,"Comics"
"Elite Foundation 2510",4599,"Makeup"
"Eco Friendly Bluetooth Speaker",66999,"Electronics"
"Dual Helmet 2512",1899,"Cycling"
"Slim Reference Guide",2799,"Academic"
"High Performance Lipstick 2514",4549,"Makeup"
"Classic Office Chair 2515",46499,"Furniture"
"High Performance Room Freshener 2516",7199,"Fragrances"
"Fast Serum 2517",3699,"Skincare"
"Professional Whiteboard",2799,"Office Supplies"
"Ultra Storage Box 2519",4899,"Home & Kitchen"
"Compact Stand 2520",1299,"Accessories"
"Lite T-Shirt 2521",1449,"Clothing"
"Ultra Self Help Book",899,"Books"
"Ergonomic Hair Oil 2523",1999,"Haircare"
"Eco Friendly Globe 2524",2699,"Educational Toys"
"Smart Practice Tests 2525",2099,"Academic"
"Compact Hair Oil",2399,"Haircare"
"Fast Science Kit 2527",3299,"Educational Toys"
"Heavy Duty Cookbook",1849,"Books"
"Lite Cycling Gloves",1849,"Cycling"
"Compact Smart Watch 2530",51799,"Electronics"
"Lite Ultrabook 2531",92199,"Laptops"
"Wireless Dash Camera 2532",10499,"Automotive"
"Portable Dress",649,"Women Fashion"
"Eco Friendly Card Game",2999,"Board Games"
"Compact Pliers 2535",4399,"Tools & Hardware"
"Pro Sunscreen",1999,"Beauty & Personal Care"
"Smart Art Book 2537",1399,"Comics"
"Lite Superhero Figure 2538",3699,"Action Figures"
"Premium Dumbbell Set 2539",9099,"Sports & Fitness"
"Heavy Duty Kids Tablet",12649,"Tablets"
"Dual Dino Figure",1999,"Action Figures"
"Wireless Car Charger",1199,"Automotive"
"Classic Serum 2543",2599,"Skincare"
"Ergonomic 2-in-1 Laptop",101049,"Laptops"
"Wireless Hair Mask",1199,"Haircare"
"Compact Blouse",5399,"Women Fashion"
"Professional Sandals",2099,"Footwear"
"Compact E-Reader 2548",59999,"Tablets"
"Elite Polo Shirt",4699,"Men Fashion"
"Portable 3D Puzzle 2550",1799,"Puzzles"
"Advanced Saree 2551",6549,"Women Fashion"
"Ergonomic Air Freshener 2552",2799,"Car Accessories"
"Ultra Saree",4099,"Women Fashion"
"Ergonomic Polo Shirt",2199,"Men Fashion"
"Professional Sandals 2555",10099,"Footwear"
"Elite Thriller Novel 2556",399,"Fiction"
"High Performance Dry Shampoo 2557",1799,"Haircare"
"Advanced Flagship Smartphone",17999,"Smartphones"
"Ergonomic Car Charger",11199,"Automotive"
"Classic Hammer",549,"Tools & Hardware"
"Elite Blazer",5299,"Men Fashion"
"Eco Friendly Eau de Toilette",11099,"Fragrances"
"Dual Weight Bench 2563",42599,"Gym Equipment"
"Portable Moisturiser",1899,"Beauty & Personal Care"
"Compact Sketch Pens",499,"Stationery"
"Heavy Duty Comforter 2566",5299,"Bedding"
"High Performance True Crime",1399,"Non-Fiction"
"Fast Pillow Cover 2568",3099,"Bedding"
"Premium Bed Frame",10899,"Furniture"
"Elite Superhero Figure",3149,"Action Figures"
"Pro Bluetooth Speaker",80049,"Electronics"
"Digital Wooden Puzzle 2572",999,"Puzzles"
"Eco Friendly Body Lotion 2573",899,"Beauty & Personal Care"
"Ergonomic Android Tablet",13499,"Tablets"
"High Performance Building Blocks",599,"Toys & Games"
"Pro Air Freshener 2576",1399,"Car Accessories"
"Wireless Business Notebook",114799,"Laptops"
"Professional Foam Puzzle",499,"Puzzles"
"Heavy Duty Wok 2579",5999,"Cookware"
"Portable Puzzle Map",3599,"Educational Toys"
"Dual Earbuds 2581",41299,"Electronics"
"Advanced Geometric Box 2582",949,"Stationery"
"Heavy Duty Robot Toy",4999,"Action Figures"
"Eco Friendly Mystery Book",899,"Fiction"
"Ultra Screwdriver Set",5999,"Tools & Hardware"
"Smart Ballpoint Pen 2586",1199,"Stationery"
"Advanced Resistance Band 2587",2499,"Sports & Fitness"
"Ultra Water Jug 2588",2199,"Home & Kitchen"
"Smart Face Mask 2589",4999,"Skincare"
"Advanced Storage Box 2590",1599,"Home & Kitchen"
"Classic Tawa",3599,"Cookware"
"Dual Sofa 2592",11699,"Furniture"
"Eco Friendly Romance Novel 2593",999,"Fiction"
"Professional Mixer Grinder",23349,"Appliances"
"Ultra Quilt",2999,"Bedding"
"Smart Art Book 2596",549,"Comics"
"Smart Helmet 2597",749,"Cycling"
"Smart Remote Control Car 2598",1649,"Toys & Games"
"Wireless Philosophy Book 2599",1399,"Non-Fiction"
"Slim Resistance Band 2600",9899,"Sports & Fitness"
"Dual Badminton Racket",19149,"Outdoor Sports"
"Fast Power Bank",2699,"Accessories"
"Heavy Duty Screwdriver Set",1599,"Tools & Hardware"
"Lite Tawa 2604",5199,"Cookware"
"Heavy Duty Hair Mask",1099,"Haircare"
"Classic Mystery Book 2606",399,"Fiction"
"Advanced Alphabet Blocks",1749,"Educational Toys"
"Elite Dry Shampoo 2608",799,"Haircare"
"Slim Science Book 2609",849,"Non-Fiction"
"Classic Iron Box",33349,"Appliances"
"Smart Bike Lock 2611",2849,"Cycling"
"Slim Microwave 2612",15599,"Appliances"
"Professional Desk Organiser 2613",1299,"Office Supplies"
"Advanced Travel Guide 2614",799,"Non-Fiction"
"Eco Friendly Workbook 2615",399,"Academic"
"Eco Friendly Air Fryer 2616",16099,"Appliances"
"Lite Art Book 2617",1499,"Comics"
"Dual Remote Control Car",4199,"Toys & Games"
"Portable Blush",3349,"Makeup"
"Smart Chess Set 2620",2549,"Board Games"
"Professional Steering Wheel Cover",5249,"Automotive"
"Compact Convertible Tablet",59799,"Tablets"
"Smart Toner",899,"Skincare"
"Eco Friendly Hammer",3949,"Tools & Hardware"
"Compact Sketch Pens 2625",399,"Stationery"
"High Performance Play Kitchen",899,"Toys & Games"
"Digital Stand",1199,"Accessories"
"Professional Bicycle Light 2628",4399,"Cycling"
"High Performance Chess Set",1199,"Board Games"
"Professional Yoga Strap",599,"Yoga"
"Smart Water Jug",799,"Home & Kitchen"
"Compact Ab Roller 2632",13749,"Sports & Fitness"
"Classic Camera Phone 2633",77699,"Smartphones"
"Digital Body Lotion 2634",2449,"Beauty & Personal Care"
"Advanced Serum",2699,"Skincare"
"Wireless Seat Cover 2636",11599,"Automotive"
"Smart Air Fryer 2637",15499,"Appliances"
"Slim Dictionary",249,"Books"
"Advanced Drill Machine",5799,"Tools & Hardware"
"Heavy Duty Webcomic Collection",1099,"Comics"
"Lite Body Lotion 2641",499,"Beauty & Personal Care"
"Fast Play Kitchen",399,"Toys & Games"
"Portable Dinner Set",4499,"Home & Kitchen"
"Ergonomic Science Kit 2644",2649,"Educational Toys"
"Fast Webcomic Collection",999,"Comics"
"Professional 1000 Piece Puzzle",1549,"Puzzles"
"Classic Ultrabook 2647",75699,"Laptops"
"Heavy Duty T-Shirt 2648",2799,"Clothing"
"Compact Polo Shirt",4549,"Men Fashion"
"High Performance File Folder",2699,"Office Supplies"
"Ultra Dash Camera",2999,"Automotive"
"Dual Pliers 2652",3199,"Tools & Hardware"
"Dual Body Lotion",1649,"Beauty & Personal Care"
"High Performance Robot Toy",2499,"Action Figures"
"Dual Bicycle Light 2655",1999,"Cycling"
"Wireless Android Phone 2656",54499,"Smartphones"
"Compact Dumbbell Set 2657",8949,"Sports & Fitness"
"Wireless Organiser Bag 2658",2299,"Car Accessories"
"Eco Friendly Novel 2659",1699,"Books"
"Elite Alphabet Blocks",3799,"Educational Toys"
"Elite Car Polish",949,"Car Accessories"
"Lite Dinner Set 2662",1249,"Home & Kitchen"
"Premium Seat Cover",7349,"Automotive"
"Elite Sci-Fi Novel 2664",899,"Fiction"
"Wireless Building Blocks 2665",5099,"Toys & Games"
"Ergonomic Building Blocks",2399,"Toys & Games"
"Digital Running Shoes",7699,"Footwear"
"Wireless Biography",1049,"Books"
"Ultra Non-stick Pan",1049,"Cookware"
"Portable Travel Guide 2670",1199,"Non-Fiction"
"Heavy Duty Shampoo",1199,"Haircare"
"Premium Sci-Fi Novel 2672",799,"Fiction"
"Wireless Screwdriver Set 2673",2899,"Tools & Hardware"
"Fast Doll House 2674",749,"Toys & Games"
"Fast Business Notebook",39899,"Laptops"
"Professional Room Freshener 2676",6299,"Fragrances"
"Compact Toner 2677",3949,"Skincare"
"Digital Wok 2678",3499,"Cookware"
"Advanced Knife Set",2149,"Home & Kitchen"
"Classic Robot Toy",1999,"Action Figures"
"Fast Business Notebook 2681",50149,"Laptops"
"Digital History Book 2682",799,"Non-Fiction"
"Compact Sun Shade",2399,"Car Accessories"
"Eco Friendly Joggers 2684",2149,"Kids Wear"
"Advanced Kurti",7199,"Women Fashion"
"Dual Quilt 2686",4199,"Bedding"
"Digital Sunscreen 2687",2799,"Beauty & Personal Care"
"Pro Face Mask 2688",1799,"Skincare"
"Ergonomic True Crime",349,"Non-Fiction"
"Elite Phone Case 2690",1249,"Accessories"
"Lite Mattress Protector 2691",7499,"Bedding"
"Compact Philosophy Book",1499,"Non-Fiction"
"Slim T-Shirt 2693",3099,"Clothing"
"Heavy Duty Superhero Comic",899,"Comics"
"Elite Formal Shirt",4599,"Clothing"
"Advanced Moisturiser",1699,"Beauty & Personal Care"
"Premium Resistance Band",1499,"Sports & Fitness"
"Premium Charging Cable 2698",2399,"Accessories"
"Smart Kurti 2699",1599,"Women Fashion"
"Advanced Leggings",6199,"Women Fashion"
"Fast Conditioner",999,"Haircare"
"High Performance Superhero Comic 2702",1099,"Comics"
"Wireless Math Kit",2899,"Educational Toys"
"Eco Friendly 5G Phone 2704",31299,"Smartphones"
"Premium Dinner Set 2705",399,"Home & Kitchen"
"Pro Blazer 2706",5199,"Men Fashion"
"Heavy Duty Workbook 2707",1899,"Academic"
"Premium Eye Cream 2708",3599,"Skincare"
"Pro Dungaree",1399,"Kids Wear"
"Smart File Folder 2710",2049,"Office Supplies"
"Elite Monopoly 2711",1399,"Board Games"
"Advanced Air Freshener 2712",499,"Car Accessories"
"Heavy Duty Alphabet Blocks 2713",3599,"Educational Toys"
"Heavy Duty Toner",749,"Skincare"
"Smart Dino Figure 2715",4049,"Action Figures"
"Ultra Anime Figure",2399,"Action Figures"
"Heavy Duty Philosophy Book 2717",899,"Non-Fiction"
"Ultra USB Hub",50549,"Electronics"
"Portable Measuring Tape",3599,"Tools & Hardware"
"Portable Dino Figure",3199,"Action Figures"
"Portable Air Fryer",29499,"Appliances"
"Elite Anime Figure",1799,"Action Figures"
"Digital Mattress Protector 2723",4899,"Bedding"
"Smart Webcomic Collection",849,"Comics"
"Eco Friendly Resistance Band 2725",4899,"Sports & Fitness"
"Portable 2-in-1 Laptop",34299,"Laptops"
"Fast Comforter",5449,"Bedding"
"Ergonomic Card Game",2699,"Board Games"
"Dual Track Pants 2729",1149,"Men Fashion"
"Ultra Bookshelf",63399,"Furniture"
"Slim Notebook 2731",1299,"Stationery"
"Ultra Tyre Inflator",2099,"Car Accessories"
"Professional Catan",2399,"Board Games"
"Digital Room Freshener 2734",10199,"Fragrances"
"Wireless Badminton Racket 2735",1899,"Outdoor Sports"
"High Performance Sneakers 2736",9699,"Footwear"
"Digital Kadai 2737",4549,"Cookware"
"Dual Sunscreen",2099,"Beauty & Personal Care"
"Digital Dino Figure 2739",3299,"Action Figures"
"Professional Hoodie 2740",4299,"Clothing"
"Smart 5G Phone",79299,"Smartphones"
"High Performance T-Shirt",2599,"Clothing"
"Dual Car Charger",6249,"Automotive"
"Slim Pressure Cooker 2744",4099,"Cookware"
"Lite Army Set",4299,"Action Figures"
"Digital School Uniform 2746",2199,"Kids Wear"
"Eco Friendly Cycling Gloves 2747",1849,"Cycling"
"Digital Wok 2748",5049,"Cookware"
"Heavy Duty Flip Flops",9999,"Footwear"
"Slim Cutting Board 2750",2999,"Home & Kitchen"
"High Performance Kurta 2751",5549,"Men Fashion"
"Premium Globe",2799,"Educational Toys"
"Ergonomic Bed Sheet 2753",5349,"Bedding"
"Lite Eau de Toilette",5899,"Fragrances"
"Compact Air Freshener",2799,"Car Accessories"
"Classic Sun Shade 2756",2799,"Car Accessories"
"Ultra Bike Lock",4399,"Cycling"
"Pro Monopoly 2758",2499,"Board Games"
"Advanced Smart Watch 2759",30099,"Electronics"
"Ultra Bluetooth Speaker",40299,"Electronics"
"Heavy Duty Mystery Book 2761",299,"Fiction"
"Dual Organiser Bag 2762",2699,"Car Accessories"
"Compact Track Pants 2763",6149,"Men Fashion"
"Ergonomic Cricket Bat 2764",16299,"Outdoor Sports"
"Fast Barbell",68099,"Gym Equipment"
"Ergonomic T-Shirt 2766",3399,"Clothing"
"Professional Blush 2767",3349,"Makeup"
"Portable Polo Shirt",5249,"Men Fashion"
"Slim Sunscreen",199,"Beauty & Personal Care"
"Ergonomic Eye Cream 2770",2999,"Skincare"
"Smart Dash Camera 2771",2799,"Automotive"
"Portable Fantasy Book 2772",149,"Fiction"
"Advanced Water Bottle Cage",1899,"Cycling"
"Fast Thriller Novel 2774",949,"Fiction"
"Portable True Crime",1199,"Non-Fiction"
"Elite Superhero Figure 2776",1199,"Action Figures"
"Ultra Science Book",1049,"Non-Fiction"
"Portable Thriller Novel 2778",799,"Fiction"
"Classic Sun Shade 2779",1399,"Car Accessories"
"Pro Novel",1049,"Books"
"Fast LED Monitor",42149,"Electronics"
"Heavy Duty Building Blocks",5399,"Toys & Games"
"Portable Moisturiser 2783",1299,"Beauty & Personal Care"
"Pro History Book 2784",599,"Non-Fiction"
"Dual Foam Roller",1199,"Yoga"
"Fast Robot Toy",1249,"Action Figures"
"Ultra Dungaree",1599,"Kids Wear"
"Smart Track Pants",1999,"Men Fashion"
"Heavy Duty Mascara",1899,"Makeup"
"Classic True Crime 2790",549,"Non-Fiction"
"Professional Webcomic Collection",799,"Comics"
"Heavy Duty Deodorant 2792",2399,"Beauty & Personal Care"
"Pro True Crime",349,"Non-Fiction"
"Premium Pillow Cover",5799,"Bedding"
"Portable Running Shoes",11799,"Footwear"
"Advanced Lipstick",2399,"Makeup"
"Lite Body Mist 2797",5099,"Fragrances"
"Professional Seat Cover",11549,"Automotive"
"Portable Air Fryer 2799",22799,"Appliances"
"Fast Tyre Inflator",2249,"Car Accessories"
"Premium Mattress Protector 2801",7649,"Bedding"
"Wireless Chromebook 2802",75199,"Laptops"
"Digital Ultrabook",58799,"Laptops"
"Fast Hoodie",2499,"Clothing"
"Digital 2-in-1 Laptop",146899,"Laptops"
"Wireless Sketch Pens 2806",349,"Stationery"
"Classic Kids Tablet",37299,"Tablets"
"Ultra Chromebook",88099,"Laptops"
"Elite Catan",2599,"Board Games"
"Ergonomic Self Help Book 2810",1999,"Books"
"Compact Quilt 2811",4899,"Bedding"
"Digital Eye Cream 2812",4049,"Skincare"
"Portable Tent 2813",3999,"Outdoor Sports"
"Ultra Thriller Novel 2814",499,"Fiction"
"High Performance Science Kit",399,"Educational Toys"
"Professional 500 Piece Puzzle",1649,"Puzzles"
"Ergonomic Measuring Tape 2817",2849,"Tools & Hardware"
"Digital Helmet",2399,"Cycling"
"Eco Friendly E-Reader 2819",71699,"Tablets"
"Lite Flip Flops 2820",7799,"Footwear"
"Ultra Kettlebell",52299,"Gym Equipment"
"Advanced Sun Shade 2822",2749,"Car Accessories"
"Lite Knife Set",1299,"Home & Kitchen"
"Professional Bike Lock 2824",1549,"Cycling"
"Smart Workbook 2825",2649,"Academic"
"Ergonomic File Folder 2826",1199,"Office Supplies"
"Heavy Duty Formal Shoes",7899,"Footwear"
"Ultra Toner",449,"Skincare"
"Wireless Formal Shirt",4899,"Clothing"
"Lite Remote Control Car 2830",7199,"Toys & Games"
"Smart Measuring Tape",3799,"Tools & Hardware"
"Pro Superhero Figure 2832",4299,"Action Figures"
"Dual Sunscreen 2833",1999,"Beauty & Personal Care"
"Wireless Catan",1199,"Board Games"
"Eco Friendly Pillow Cover 2835",3099,"Bedding"
"Dual Cookbook 2836",2199,"Books"
"Wireless 1000 Piece Puzzle",1199,"Puzzles"
"Pro Self Help Book",1699,"Books"
"Compact Gaming Laptop",38299,"Laptops"
"Lite Yoga Strap 2840",2899,"Yoga"
"Smart Drill Machine",4999,"Tools & Hardware"
"Ergonomic Quilt 2842",5099,"Bedding"
"Smart Pillow Cover",1899,"Bedding"
"Lite Business Notebook 2844",138249,"Laptops"
"Pro Mattress Protector",949,"Bedding"
"Dual Pressure Cooker 2846",2799,"Cookware"
"Slim Sandals 2847",1599,"Footwear"
"Ultra Study Table",68699,"Furniture"
"Classic Car Charger 2849",9899,"Automotive"
"Premium Frock",2399,"Kids Wear"
"Heavy Duty Superhero Comic 2851",1299,"Comics"
"Wireless Robot Toy",4599,"Action Figures"
"Ergonomic Jacket 2853",1399,"Clothing"
"Dual Car Charger 2854",2999,"Automotive"
"Professional Monopoly",1049,"Board Games"
"High Performance Dinner Set 2856",4799,"Home & Kitchen"
"Ultra Pliers",7399,"Tools & Hardware"
"Dual Kadai",5349,"Cookware"
"Professional Convertible Tablet 2859",46299,"Tablets"
"Advanced Convertible Tablet",25249,"Tablets"
"Professional Attar 2861",2599,"Fragrances"
"Fast Graphic Novel 2862",899,"Comics"
"Heavy Duty Office Chair 2863",20399,"Furniture"
"Premium Serum",4899,"Skincare"
"Ultra Dumbbell Set",14049,"Sports & Fitness"
"Wireless Dumbbell Set 2866",4349,"Sports & Fitness"
"Elite Drawing Tablet 2867",53899,"Tablets"
"Classic Storage Box 2868",3899,"Home & Kitchen"
"High Performance Yoga Strap 2869",499,"Yoga"
"Elite Highlighter Set",499,"Stationery"
"Pro Kids Tablet",35599,"Tablets"
"Slim Steering Wheel Cover 2872",1599,"Automotive"
"Portable Building Blocks",3599,"Toys & Games"
"Compact Workbook",799,"Academic"
"Heavy Duty Camera Phone",47049,"Smartphones"
"Advanced Bicycle Light",1399,"Cycling"
"Heavy Duty Mixer Grinder",15699,"Appliances"
"Fast Android Tablet",62399,"Tablets"
"Heavy Duty Pressure Cooker",3099,"Cookware"
"Wireless Room Freshener",3249,"Fragrances"
"Smart Saree 2881",2899,"Women Fashion"
"Fast Self Help Book 2882",249,"Books"
"Compact Blush 2883",4199,"Makeup"
"Dual Math Kit",3299,"Educational Toys"
"Portable Puzzle Map 2885",1899,"Educational Toys"
"Digital E-Reader",11399,"Tablets"
"Wireless Travel Guide 2887",399,"Non-Fiction"
"Digital Water Jug",1499,"Home & Kitchen"
"Eco Friendly Math Kit",3749,"Educational Toys"
"Professional Tawa",3999,"Cookware"
"Portable Reference Guide",2199,"Academic"
"Classic Face Wash",1749,"Beauty & Personal Care"
"Dual Ultrabook 2893",128099,"Laptops"
"Ergonomic T-Shirt 2894",4299,"Clothing"
"Professional T-Shirt 2895",4299,"Clothing"
"Lite Convertible Tablet 2896",11199,"Tablets"
"High Performance Measuring Tape 2897",4399,"Tools & Hardware"
"Digital Toy Train 2898",2999,"Toys & Games"
"Wireless Sunscreen 2899",2699,"Beauty & Personal Care"
"Slim Dumbbell Set",4199,"Sports & Fitness"
"Slim Body Lotion 2901",2699,"Beauty & Personal Care"
"Digital Bed Frame 2902",5099,"Furniture"
"Premium Science Kit 2903",3799,"Educational Toys"
"Heavy Duty Body Lotion 2904",2999,"Beauty & Personal Care"
"Wireless Weight Bench 2905",76049,"Gym Equipment"
"Lite Textbook",799,"Academic"
"Wireless Webcomic Collection 2907",699,"Comics"
"Slim Dash Camera",14299,"Automotive"
"Ergonomic Study Material 2909",1299,"Academic"
"Compact Room Freshener 2910",8549,"Fragrances"
"Ergonomic Chess Set",549,"Board Games"
"Compact Jacket 2912",2599,"Clothing"
"High Performance Knife Set",1499,"Home & Kitchen"
"Elite Office Chair",18399,"Furniture"
"Eco Friendly Screen Protector 2915",1799,"Accessories"
"Premium T-Shirt",4499,"Clothing"
"Fast Sofa 2917",24799,"Furniture"
"Portable Hammer 2918",2199,"Tools & Hardware"
"Smart 3D Puzzle",1149,"Puzzles"
"Dual Room Freshener",1149,"Fragrances"
"Compact Army Set",449,"Action Figures"
"Heavy Duty Charging Cable 2922",3449,"Accessories"
"Wireless Mystery Book 2923",699,"Fiction"
"High Performance Graphic Novel",799,"Comics"
"Portable Sunscreen",1799,"Beauty & Personal Care"
"Lite Android Tablet",67599,"Tablets"
"Portable Yoga Mat 2927",9999,"Sports & Fitness"
"Fast Meditation Cushion",1799,"Yoga"
"Classic Badminton Racket",2799,"Outdoor Sports"
"Portable Charging Cable",2349,"Accessories"
"Advanced Catan",799,"Board Games"
"Smart Storage Box",3199,"Home & Kitchen"
"Pro Drill Machine",3899,"Tools & Hardware"
"Lite Barbell 2934",26399,"Gym Equipment"
"Ergonomic Tawa",3949,"Cookware"
"Premium History Book 2936",1349,"Non-Fiction"
"Digital Scrabble 2937",1999,"Board Games"
"Professional Dash Camera 2938",9149,"Automotive"
"Dual Art Book",1399,"Comics"
"Premium Catan 2940",799,"Board Games"
"High Performance Foundation 2941",2199,"Makeup"
"Advanced Moisturiser 2942",249,"Beauty & Personal Care"
"Advanced Foundation",2699,"Makeup"
"Wireless Badminton Racket 2944",7999,"Outdoor Sports"
"Portable Gaming Laptop 2945",34749,"Laptops"
"Slim Sun Shade",1649,"Car Accessories"
"Lite Leggings 2947",1399,"Women Fashion"
"Ergonomic Hair Mask",1699,"Haircare"
"Elite Mascara",4599,"Makeup"
"Smart Water Jug 2950",4699,"Home & Kitchen"
"High Performance Body Mist 2951",849,"Fragrances"
"Smart Monopoly 2952",599,"Board Games"
"Slim Math Kit 2953",3099,"Educational Toys"
"Fast Camera Phone",26299,"Smartphones"
"Slim Joggers",499,"Kids Wear"
"Premium Philosophy Book",599,"Non-Fiction"
"Wireless Knife Set 2957",4149,"Home & Kitchen"
"High Performance Globe 2958",3899,"Educational Toys"
"Heavy Duty Frock 2959",2399,"Kids Wear"
"Compact Water Jug 2960",4699,"Home & Kitchen"
"Ultra Workbook 2961",1349,"Academic"
"Digital Helmet 2962",699,"Cycling"
"Lite Foam Puzzle 2963",1799,"Puzzles"
"Digital Conditioner 2964",1199,"Haircare"
"Compact 1000 Piece Puzzle 2965",1399,"Puzzles"
"Classic Science Book 2966",449,"Non-Fiction"
"Smart Car Charger",2299,"Automotive"
"Ultra Water Bottle Cage",2999,"Cycling"
"Elite Office Chair 2969",21599,"Furniture"
"Slim Globe",2999,"Educational Toys"
"Portable Kurti",5499,"Women Fashion"
"Wireless Dry Shampoo",1999,"Haircare"
"Pro Eyeshadow Palette 2973",4299,"Makeup"
"Ultra Organiser Bag 2974",1849,"Car Accessories"
"Pro Cookbook 2975",399,"Books"
"Professional Drawing Tablet",38399,"Tablets"
"High Performance Math Kit",2949,"Educational Toys"
"Slim Study Table 2978",9399,"Furniture"
"Compact Cricket Bat",7699,"Outdoor Sports"
"Smart Science Book 2980",1099,"Non-Fiction"
"Eco Friendly Frock 2981",2299,"Kids Wear"
"Wireless Chromebook 2982",43199,"Laptops"
"Heavy Duty Smart Watch",33899,"Electronics"
"Compact Pillow Cover 2984",7099,"Bedding"
"Advanced Face Mask 2985",899,"Skincare"
"Classic Wooden Puzzle",999,"Puzzles"
"Premium Building Blocks 2987",1599,"Toys & Games"
"Classic Anime Figure",1399,"Action Figures"
"Professional Seat Cover 2989",9849,"Automotive"
"Slim Steering Wheel Cover 2990",6999,"Automotive"
"Slim Leggings 2991",3899,"Women Fashion"
"Advanced Sofa",65299,"Furniture"
"Wireless Meditation Cushion",2199,"Yoga"
"Dual Hammer",749,"Tools & Hardware"
"Compact Kids Tablet",64899,"Tablets"
"Digital Study Table 2996",16799,"Furniture"
"Fast Art Book",1299,"Comics"
"Premium Toy Train",6799,"Toys & Games"
"Wireless Alphabet Blocks 2999",2249,"Educational Toys"
"Lite Tawa 3000",2799,"Cookware"
"Heavy Duty Card Game 3001",2899,"Board Games"
"Smart Perfume",10999,"Fragrances"
"Advanced Comforter 3003",2399,"Bedding"
"Eco Friendly Blouse",2549,"Women Fashion"
"Premium Army Set",2399,"Action Figures"
"Premium Sketch Pens",899,"Stationery"
"Dual Water Jug 3007",1599,"Home & Kitchen"
"Lite Screen Protector",449,"Accessories"
"Premium Attar 3009",5099,"Fragrances"
"Pro Workbook",2799,"Academic"
"Classic Dinner Set 3011",4599,"Home & Kitchen"
"Slim Cycling Gloves 3012",2199,"Cycling"
"Fast Play Kitchen 3013",399,"Toys & Games"
"Heavy Duty Dungaree 3014",1099,"Kids Wear"
"Heavy Duty Polo Shirt 3015",5799,"Men Fashion"
"Elite Water Jug",3049,"Home & Kitchen"
"Smart Bed Sheet",7099,"Bedding"
"Heavy Duty Kadai",1049,"Cookware"
"Premium Toner",4599,"Skincare"
"Heavy Duty Charging Cable 3020",3049,"Accessories"
"Ergonomic Car Polish 3021",2449,"Car Accessories"
"Compact Workbook 3022",1999,"Academic"
"Pro Superhero Comic 3023",1349,"Comics"
"Ultra Sneakers",1699,"Footwear"
"Lite True Crime",1299,"Non-Fiction"
"Compact Meditation Cushion",2599,"Yoga"
"Slim Workbook",2999,"Academic"
"High Performance Convertible Tablet",21749,"Tablets"
"Premium Screen Protector",2299,"Accessories"
"Digital Cookbook",1599,"Books"
"Compact True Crime",499,"Non-Fiction"
"Elite Novel",249,"Books"
"Dual Earbuds 3033",80399,"Electronics"
"Advanced Card Game 3034",2399,"Board Games"
